,sty,lut,mar,kwi,maj,cze,lip,sie,wrz,paü,lis,gru,Year
2013, 5.3 , 5.3 , 5.3 , 5.3 , 5.3 , 5.3 , 5.3 , 5.3 , 5.3 , 5.3 , 5.3 , 5.3 , 5.3 
2014, 6.2 , 6.2 , 6.2 , 6.2 , 6.2 , 6.2 , 6.2 , 6.2 , 6.2 , 6.2 , 6.2 , 6.2 , 6.2 
2015, 11.2 , 8.3 , 10.1 , 11.6 , 8.3 , 6.5 , 8.0 , 6.5 , 7.5 , 7.3 , 11.4 , 14.5 , 9.3 
2016, 10.6 , 14.0 , 8.7 , 9.7 , 8.9 , 7.4 , 8.1 , 8.1 , 7.3 , 11.6 , 12.3 , 14.1 , 10.2 
2017, 9.2 , 11.5 , 12.2 , 13.9 , 10.3 , 11.5 , 7.2 , 8.6 , 11.4 , 16.0 , 12.6 , 15.5 , 11.7 
2018, 14.8 , 7.2 , 9.9 , 14.0 , 9.6 , 8.6 , 7.2 , 7.5 , 10.0 , 12.9 , 9.7 , 12.4 , 10.4 
2019, 12.0 , 13.8 , 15.7 , 11.8 , 9.7 , 8.3 , 9.1 , 6.5 , 11.4 , 10.7 , 12.1 , 14.6 , 11.4 
2020, 15.1 , 18.3 , 14.1 , 14.6 , 14.3 , 11.0 , 10.8 , 9.7 , 11.2 , 13.5 , 13.1 , 14.9 , 13.5 
2021, 10.9 , 12.4 , 14.0 , 15.8 , 17.6 , 12.5 , 11.3 , 13.3 , 12.4 , 16.2 , 13.5 , 12.9 , 13.5 
2022, 18.7 , 22.7 , 14.5 , 20.4 , 21.0 , 18.7 , 20.9 , 15.5 , 16.3 , 19.4 , 12.4 , 14.8 , 17.9 
2023, 20.1 , 21.9 , 24.4 , 24.2 , 28.4 , 25.8 , 27.6 , 24.7 , 24.3 , 25.5 , 20.3 , 24.0 , 24.1 
2024, 24.7 , 27.1 ,,,,,,,,,,, 25.8 
