data,CDS,koszt wêgla,koszt uprawnieñ
01.01.2017,54.97,85.91,20.15
01.02.2017,53.61,86,19.95
01.03.2017,52.18,85.52,19.59
01.04.2017,54.18,85.14,18.18
01.05.2017,55.53,88.7,17.37
01.06.2017,54.39,89.57,18.87
01.07.2017,54.39,89.86,20.04
01.08.2017,55.91,88.8,21.7
01.09.2017,53.27,90.43,25.93
01.10.2017,46.91,91.01,27.96
01.11.2017,43.89,92.17,28.82
01.12.2017,39.21,92.84,27.71
01.01.2018,37.23,100.26,31.53
01.02.2018,39.01,100.93,35.29
01.03.2018,35.14,101.8,43.15
01.04.2018,23.49,103.92,50.01
01.05.2018,28.43,103.34,57.33
01.06.2018,32.63,104.98,58.75
01.07.2018,38.2,106.71,63.4
01.08.2018,32.37,110.08,72.62
01.09.2018,26.6,108.64,83.7
01.10.2018,29.27,108.64,76.22
01.11.2018,31.6,109.12,72.49
01.12.2018,20.28,106.9,80.12
01.01.2019,42.85,114.22,88.97
01.02.2019,47.59,114.51,81.03
01.03.2019,40.29,114.7,84.64
01.04.2019,29.35,116.63,99.14
01.05.2019,35.91,113.93,98.81
01.06.2019,41.72,115.18,96.07
01.07.2019,30.92,114.7,106.99
01.08.2019,35.45,114.7,106.21
01.09.2019,36.72,116.53,101.16
01.10.2019,35.34,117.21,94.71
01.11.2019,32.68,117.01,94.92
01.12.2019,27.71,116.82,94.71
01.01.2020,45.18,116.05,93.39
01.02.2020,41.93,115.09,92.14
01.03.2020,51.82,116.15,79.04
01.04.2020,42.06,114.61,82.2
01.05.2020,45.62,116.63,80.13
01.06.2020,42.59,116.44,92.89
01.07.2020,33.23,113.16,109.63
01.08.2020,38.26,113.16,105.56
01.09.2020,33.43,114.13,111.07
01.10.2020,37.21,115.47,103.36
01.11.2020,35.07,113.74,106.65
01.12.2020,22.9,112.97,119.94
01.01.2021,-11.66,111.91,137.22
01.02.2021,-22.81,111.04,152.81
01.03.2021,-38.21,110.95,168.09
01.04.2021,-49.67,109.7,185.21
01.05.2021,-70.66,107.29,212.49
01.06.2021,-62.98,110.18,214.23
01.07.2021,-57.51,109.89,220.23
01.08.2021,-68.53,111.24,232.24
01.09.2021,-69.45,109.41,253.04
01.10.2021,-61.64,109.21,247.11
01.11.2021,-69.66,106.13,275.23
01.12.2021,-87.35,112.49,336.07
01.01.2022,21.34,130.21,341.95
01.02.2022,-29.24,131.46,370.19
01.03.2022,36.8,129.05,320.56
01.04.2022,17.47,131.08,337.33
01.05.2022,-18.99,146.39,357.57
01.06.2022,24.77,155.54,346.67
01.07.2022,69.81,156.02,351.52
01.08.2022,-26.7,292.39,373.36
01.09.2022,-11.49,282.57,297.42
01.10.2022,43.2,248.67,301.52
01.11.2022,42.32873222,248.8603531,320.1025894
01.12.2022,25.95264577,232.1990369,365.8991085
01.01.2023,449.4984959,232.1990369,339.2983284
01.02.2023,553.4802886,259.2186538,339.2983284
01.03.2023,601.7310476,257.3383894,339.2983284
01.04.2023,507.4720627,250.5581397,339.2983284
01.05.2023,512.8018595,249.8500295,339.2983284
01.06.2023,513.5346238,249.0067394,339.2983284
01.07.2023,527.7364816,246.1700136,339.2983284
01.08.2023,530.2176264,245.4839244,339.2983284
01.09.2023,529.3735683,245.1634117,339.2983284
01.10.2023,544.2530667,243.8103744,339.2983284
01.11.2023,545.1138546,243.5684852,339.2983284
01.12.2023,544.1451203,243.0942498,339.2983284
