date,2022,2023,2024
01.01.2024,0,23.4,0
02.01.2024,0,23.4,0
03.01.2024,0,23.4,0
04.01.2024,0,23.4,0
05.01.2024,0,23.4,0
06.01.2024,0,23.4,0
07.01.2024,0,23.4,0
08.01.2024,0,23.4,0
09.01.2024,0,23.4,0
10.01.2024,0,23.4,0
11.01.2024,0,23.4,0
12.01.2024,0,23.4,0
13.01.2024,0,23.4,0
14.01.2024,0,23.4,0
15.01.2024,0,23.4,0
16.01.2024,0,23.4,0
17.01.2024,0,23.4,0
18.01.2024,0,23.4,0
19.01.2024,0,23.4,0
20.01.2024,0,23.4,0
21.01.2024,0,23.4,0
22.01.2024,0,23.4,0
23.01.2024,0,23.4,0
24.01.2024,0,23.4,0
25.01.2024,0,23.4,0
26.01.2024,0,23.4,0
27.01.2024,0,23.4,0
28.01.2024,0,23.4,0
29.01.2024,0,23.4,0
30.01.2024,0,23.4,0
31.01.2024,0,23.4,0
01.02.2024,0,23.4,0
02.02.2024,0,23.4,0
03.02.2024,0,23.4,0
04.02.2024,0,23.4,0
05.02.2024,0,23.4,0
06.02.2024,0,23.4,0
07.02.2024,0,23.4,0
08.02.2024,0,23.4,0
09.02.2024,0,23.4,0
10.02.2024,0,23.4,0
11.02.2024,0,23.4,0
12.02.2024,0,23.4,0
13.02.2024,0,23.4,0
14.02.2024,0,23.4,0
15.02.2024,0,23.4,0
16.02.2024,0,23.4,0
17.02.2024,0,23.4,0
18.02.2024,0,23.4,0
19.02.2024,0,23.4,0
20.02.2024,0,23.4,0
21.02.2024,0,23.4,0
22.02.2024,0,23.4,0
23.02.2024,0,23.4,0
24.02.2024,0,23.4,0
25.02.2024,0,23.4,0
26.02.2024,0,23.4,0
27.02.2024,0,23.4,0
28.02.2024,0,23.4,0
01.03.2024,0,23.4,0
02.03.2024,0,23.4,0
03.03.2024,0,23.4,2.15
04.03.2024,0,23.4,2.15
05.03.2024,0,23.4,2.15
06.03.2024,0,23.4,2.15
07.03.2024,0,23.4,2.15
08.03.2024,0,23.4,2.15
09.03.2024,0,23.4,2.15
10.03.2024,0,23.4,17.615
11.03.2024,0,23.4,17.615
12.03.2024,0,23.4,17.615
13.03.2024,0,23.4,17.615
14.03.2024,0,23.4,17.615
15.03.2024,0,23.4,17.615
16.03.2024,0,23.4,17.615
17.03.2024,0,23.4,17.615
18.03.2024,0,23.4,17.615
19.03.2024,0,23.4,17.615
20.03.2024,0,23.4,17.615
21.03.2024,0,23.4,17.615
22.03.2024,0,23.4,17.615
23.03.2024,0,23.4,17.615
24.03.2024,0,23.4,17.615
25.03.2024,0,23.4,17.615
26.03.2024,0,23.4,22.404
27.03.2024,0,23.4,22.404
28.03.2024,0,23.4,22.404
29.03.2024,0,23.4,26.928
30.03.2024,0,23.4,27.954
31.03.2024,0,23.4,44.139
01.04.2024,0,23.4,49.075
02.04.2024,0,23.4,49.075
03.04.2024,0,23.4,49.075
04.04.2024,0,23.4,49.075
05.04.2024,0,23.4,49.075
06.04.2024,0,23.4,49.075
07.04.2024,0,23.4,72.411
08.04.2024,0,23.4,72.411
09.04.2024,0,23.4,72.411
10.04.2024,0,23.4,72.411
11.04.2024,0,23.4,77.771
12.04.2024,0,23.4,77.771
13.04.2024,0,23.4,83.821
14.04.2024,0,23.4,122.833
15.04.2024,0,23.4,122.833
16.04.2024,0,23.4,122.833
17.04.2024,0,23.4,122.833
18.04.2024,0,23.4,122.833
19.04.2024,0,23.4,122.833
20.04.2024,0,23.4,122.833
21.04.2024,0,23.4,122.833
22.04.2024,0,23.4,122.833
23.04.2024,0,28.55,122.833
24.04.2024,0,28.55,122.833
25.04.2024,0,28.55,122.833
26.04.2024,0,28.55,122.833
27.04.2024,0,28.55,129.381
28.04.2024,0,28.55,163.94
29.04.2024,0,28.55,174.371
30.04.2024,0,38.036,193.741
01.05.2024,0,38.036,238.377
02.05.2024,0,38.036,266.189
03.05.2024,0,38.036,273.534
04.05.2024,0,38.036,294.887
05.05.2024,0,38.036,319.6
06.05.2024,0,38.036,319.6
07.05.2024,0,38.036,319.6
08.05.2024,0,38.036,319.6
09.05.2024,0,38.036,321.522
10.05.2024,0,38.036,321.522
11.05.2024,0,38.036,321.522
12.05.2024,0,38.036,339.591
13.05.2024,0,38.036,349.771
14.05.2024,0,38.036,349.771
15.05.2024,0,38.036,366.676
16.05.2024,0,38.036,390.592
17.05.2024,0,38.036,406.575
18.05.2024,0,38.036,415.245
19.05.2024,0,38.036,420.804
20.05.2024,0,38.036,420.804
21.05.2024,0,38.036,420.804
22.05.2024,0,38.036,420.804
23.05.2024,0,38.036,420.804
24.05.2024,0,38.036,420.804
25.05.2024,0,38.036,420.804
26.05.2024,0,38.036,433.141
27.05.2024,0,38.036,433.141
28.05.2024,0,38.036,433.141
29.05.2024,0,38.036,433.141
30.05.2024,0,38.036,433.141
31.05.2024,0,38.036,433.141
01.06.2024,0,38.036,433.141
02.06.2024,0,38.036,433.141
03.06.2024,0,38.036,433.141
04.06.2024,0,38.036,433.141
05.06.2024,0,38.036,433.141
06.06.2024,0,38.036,433.141
07.06.2024,0,38.036,433.141
08.06.2024,0,38.036,434.934
09.06.2024,0,38.036,454.89
10.06.2024,0,38.036,454.89
11.06.2024,0,38.036,476.203
12.06.2024,0,38.036,476.203
13.06.2024,0,38.036,476.203
14.06.2024,0,38.036,476.203
15.06.2024,0,38.036,492.309
16.06.2024,0,38.036,492.309
17.06.2024,0,38.036,492.309
18.06.2024,0,38.036,492.309
19.06.2024,0,38.036,492.309
20.06.2024,0,38.036,492.309
21.06.2024,0,38.036,492.309
22.06.2024,0,38.036,496.453
23.06.2024,0,38.036,540.119
24.06.2024,0,38.036,540.119
25.06.2024,0,38.036,540.119
26.06.2024,0,38.036,540.119
27.06.2024,0,38.036,540.119
28.06.2024,0,38.036,540.119
29.06.2024,0,38.036,544.236
30.06.2024,0,38.036,562.016
01.07.2024,0,38.036,562.016
02.07.2024,0,59.422,562.016
03.07.2024,0,59.422,562.016
04.07.2024,0,59.422,562.016
05.07.2024,0,59.422,562.016
06.07.2024,0,59.422,575.073
07.07.2024,0,59.422,578.524
08.07.2024,0,59.422,578.524
09.07.2024,0,59.422,578.524
10.07.2024,0,59.422,578.524
11.07.2024,0,59.422,578.524
12.07.2024,0,59.422,578.524
13.07.2024,0,59.422,585.004
14.07.2024,0,59.422,585.004
15.07.2024,0,59.422,585.004
16.07.2024,0,59.422,585.004
17.07.2024,0,59.422,585.004
18.07.2024,0,59.422,585.004
19.07.2024,0,59.422,585.004
20.07.2024,0,59.422,585.004
21.07.2024,0,59.422,585.004
22.07.2024,0,59.422,585.004
23.07.2024,0,59.422,585.004
24.07.2024,0,59.422,585.004
25.07.2024,0,59.422,585.004
26.07.2024,0,59.422,585.004
27.07.2024,0,59.422,585.004
28.07.2024,0,59.422,585.004
29.07.2024,0,59.422,585.004
30.07.2024,0,59.422,585.004
31.07.2024,0,59.422,585.004
01.08.2024,0,59.422,585.004
02.08.2024,0,59.422,585.004
03.08.2024,0,59.422,585.004
04.08.2024,0,59.422,587.748
05.08.2024,0,59.422,587.748
06.08.2024,0,59.422,587.748
07.08.2024,0,59.422,587.748
08.08.2024,0,59.422,587.748
09.08.2024,0,59.422,587.748
10.08.2024,0,59.422,587.748
11.08.2024,0,59.422,606.891
12.08.2024,0,59.422,606.891
13.08.2024,0,59.422,606.891
14.08.2024,0,59.422,606.891
15.08.2024,0,59.422,606.891
16.08.2024,0,59.422,611.259
17.08.2024,0,59.422,611.259
18.08.2024,0,59.422,611.259
19.08.2024,0,59.422,611.259
20.08.2024,0,59.422,611.259
21.08.2024,0,59.422,611.259
22.08.2024,0,59.422,611.259
23.08.2024,0,59.422,613.744
24.08.2024,0,59.422,613.744
25.08.2024,0,59.422,632.483
26.08.2024,0,59.422,632.483
27.08.2024,0,59.422,632.483
28.08.2024,0,59.422,632.483
29.08.2024,0,59.422,632.483
30.08.2024,0,59.422,632.483
31.08.2024,0,59.422,632.483
01.09.2024,0,59.422,632.483
02.09.2024,0,59.422,632.483
03.09.2024,0,59.422,632.483
04.09.2024,0,59.422,632.483
05.09.2024,0,59.422,632.483
06.09.2024,0,59.422,635.093
07.09.2024,0,59.422,638.952
08.09.2024,0,59.422,644.929
09.09.2024,0,59.422,644.929
10.09.2024,0,59.422,644.929
11.09.2024,0,59.422,644.929
12.09.2024,0,59.422,644.929
13.09.2024,0,59.422,644.929
14.09.2024,0,59.422,644.929
15.09.2024,0,59.422,663.647
16.09.2024,0,59.422,663.647
17.09.2024,0,59.422,663.647
18.09.2024,0,59.422,663.647
19.09.2024,0,59.422,663.647
20.09.2024,0,59.422,664.644
21.09.2024,0,59.422,666.331
22.09.2024,0,59.422,670.843
23.09.2024,0,59.422,670.843
24.09.2024,0,59.422,673.586
25.09.2024,0,59.422,673.586
26.09.2024,0,59.422,673.586
27.09.2024,0,59.422,684.116
28.09.2024,0,59.422,689.413
29.09.2024,0,59.422,689.413
30.09.2024,0,59.422,691.704
01.10.2024,0,59.422,#N/A
02.10.2024,0,59.422,#N/A
03.10.2024,0,59.422,#N/A
04.10.2024,0,59.422,#N/A
05.10.2024,0,59.422,#N/A
06.10.2024,0,59.422,#N/A
07.10.2024,0,59.422,#N/A
08.10.2024,0,65.33,#N/A
09.10.2024,0,65.33,#N/A
10.10.2024,0,65.33,#N/A
11.10.2024,0,65.33,#N/A
12.10.2024,0,65.33,#N/A
13.10.2024,0,65.33,#N/A
14.10.2024,0,65.33,#N/A
15.10.2024,0,65.33,#N/A
16.10.2024,0,65.33,#N/A
17.10.2024,0,65.33,#N/A
18.10.2024,0,65.33,#N/A
19.10.2024,0,65.33,#N/A
20.10.2024,0,65.33,#N/A
21.10.2024,0,65.33,#N/A
22.10.2024,0,65.33,#N/A
23.10.2024,0,65.33,#N/A
24.10.2024,0,65.33,#N/A
25.10.2024,0,65.33,#N/A
26.10.2024,0,65.33,#N/A
27.10.2024,0,65.33,#N/A
28.10.2024,0,65.33,#N/A
29.10.2024,0,65.33,#N/A
30.10.2024,0,65.33,#N/A
31.10.2024,0,65.33,#N/A
01.11.2024,0,65.33,#N/A
02.11.2024,0,65.33,#N/A
03.11.2024,0,65.33,#N/A
04.11.2024,0,65.33,#N/A
05.11.2024,0,65.33,#N/A
06.11.2024,0,65.33,#N/A
07.11.2024,0,65.33,#N/A
08.11.2024,0,65.33,#N/A
09.11.2024,0,65.33,#N/A
10.11.2024,0,65.33,#N/A
11.11.2024,0,65.33,#N/A
12.11.2024,0,65.33,#N/A
13.11.2024,0,65.33,#N/A
14.11.2024,0,65.33,#N/A
15.11.2024,0,65.33,#N/A
16.11.2024,0,65.33,#N/A
17.11.2024,0,65.33,#N/A
18.11.2024,0,65.33,#N/A
19.11.2024,0,65.33,#N/A
20.11.2024,0,65.33,#N/A
21.11.2024,0,65.33,#N/A
22.11.2024,0,65.33,#N/A
23.11.2024,0,65.33,#N/A
24.11.2024,0,65.33,#N/A
