date,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01.01.2024,11.1,11.2,12.3,10.5,11.3,9.8,10.9,10.6,9.5,8.9346433
01.02.2024,10.3,9.5,10.6,10.7,9.3,8.6,9.7,8.9,8.5,7.548879931
01.03.2024,10.4,10.3,10.5,11.1,9.2,8.7,9.8,11.2,8.4,7.902888295
01.04.2024,9.3,9.5,9.4,9,8.8,7.4,9.2,9.6,7.4,6.983180975
01.05.2024,9.8,9.4,9.9,9.5,9.3,7.6,8.7,9.2,7.1,6.701319031
01.06.2024,9.8,9.7,9.6,9.8,9.3,8,9.5,9,6.8,7.014413778
01.07.2024,10.4,10.1,10.4,10.7,9.3,8.4,10.4,9,6.9,7.180555609
01.08.2024,10.4,10,10.2,10.5,9.6,8.8,10,9.9,7.4,6.619571967
01.09.2024,10.3,10.1,10,10,9,8.8,10.6,9.5,7.8,6.246039866
01.10.2024,10.9,10.6,10,10.3,9.6,9.2,10.2,9.5,8.2,
01.11.2024,10.4,11,10.5,10.7,9.2,9.3,10.6,10.6,8.9,
01.12.2024,10.3,11,10.3,10.9,9.2,9.6,11.9,10.8,9,
