date,wêgiel kamienny,wêgiel brunatny,ropa,gaz,biomasa,el. wodne,fotowoltaika,el. wiatrowe
01.01.2023,6.308778,3.17808,0.224669,1.246254,0.178347,0.336704,0.204713,2.460588
01.02.2023,5.783787,2.717484,0.206422,1.086428,0.174077,0.328442,0.449543,2.228311
01.03.2023,5.699713,2.671441,0.218093,1.392038,0.192258,0.38262,0.89941,2.256416
01.04.2023,5.07777,2.371488,0.195466,1.13156,0.182715,0.353258,1.225102,1.463794
01.05.2023,4.820356,2.401067,0.171871,0.814836,0.097972,0.323368,1.881471,1.418558
01.06.2023,4.401048,2.461029,0.155558,0.899507,0.178024,0.253359,1.869331,0.892046
01.07.2023,0,,,,,,,
01.08.2023,0,,,,,,,
01.09.2023,0,,,,,,,
01.10.2023,0,,,,,,,
01.11.2023,0,,,,,,,
01.12.2023,0,,,,,,,
