date,zapotrzebowanie,produkcja,zapotrzebowanie,produkcja
01.01.2023,15.093726,14.979295,15.746835,15.933955
01.02.2023,13.96969,13.756485,14.095734,14.218638
01.03.2023,14.88872,14.502271,15.406793,15.8447
01.04.2023,,,14.264629,14.582366
01.05.2023,,,13.707573,14.013958
01.06.2023,,,13.519438,13.468952
01.07.2023,,,13.833674,13.64957
01.08.2023,,,13.982902,13.865051
01.09.2023,,,13.453256,13.36531
01.10.2023,,,14.172724,14.091991
01.11.2023,,,14.683406,14.663661
01.12.2023,,,15.513992,15.603575
