,Wêgiel,Ropa surowa,Gaz ziemny,Paliwa
01.01.2020,0.22,3.93,1.14,0.84
01.02.2020,0.17,3.77,1.16,0.78
01.03.2020,0.15,3.17,1.56,0.64
01.04.2020,0.01,2.14,1.45,0.26
01.05.2020,0.27,0.95,1.50,0.43
01.06.2020,0.22,1.34,1.47,0.77
01.07.2020,0.18,2.61,1.55,0.61
01.08.2020,0.14,2.67,1.55,0.67
01.09.2020,0.19,2.86,1.19,0.60
01.10.2020,0.22,2.31,1.37,0.79
01.11.2020,0.19,2.84,1.54,0.69
01.12.2020,0.21,1.88,1.49,0.91
01.01.2021,0.22,2.57,1.30,0.90
01.02.2021,0.07,3.21,1.63,1.47
01.03.2021,0.20,2.29,1.31,1.89
01.04.2021,0.19,2.60,1.48,1.23
01.05.2021,0.03,3.05,1.28,1.12
01.06.2021,0.14,2.62,2.05,1.31
01.07.2021,0.16,4.10,2.13,1.45
01.08.2021,0.24,4.22,2.33,1.30
01.09.2021,0.10,4.03,2.78,1.48
01.10.2021,0.26,3.89,4.26,1.91
01.11.2021,0.48,5.76,7.34,1.70
01.12.2021,0.49,5.10,7.37,1.58
01.01.2022,0.53,4.54,7.30,1.57
01.02.2022,0.23,4.17,5.85,1.79
01.03.2022,0.26,5.97,7.35,4.33
01.04.2022,0.59,5.55,11.96,3.20
01.05.2022,0.07,3.90,7.57,1.63
01.06.2022,0.66,7.77,4.24,1.96
01.07.2022,1.42,7.54,4.83,1.79
01.08.2022,2.34,7.17,6.97,1.91
01.09.2022,2.38,6.57,8.11,2.53
01.10.2022,3.43,7.97,10.21,3.44
01.11.2022,3.99,5.97,10.39,2.87
01.12.2022,3.16,6.43,9.67,1.88
01.01.2023,2.85,6.20,6.91,2.53
01.02.2023,2.08,5.66,3.81,2.13
01.03.2023,1.96,5.07,2.82,2.60
01.04.2023,0.66,5.15,2.45,2.15
01.05.2023,0.95,5.86,2.22,1.83
01.06.2023,0.41,5.31,2.02,1.81
01.07.2023,0.33,4.78,2.32,2.38
01.08.2023,0.70,4.77,1.82,2.77
01.09.2023,0.41,5.33,2.26,3.04
01.10.2023,-0.03,6.40,2.34,3.48
01.11.2023,0.10,5.05,3.62,2.06
01.12.2023,0.12,4.80,3.37,1.55
