date,œrednia'24,minimum'24,maksimum'24,œrednia'23
01.01.2024, 21 470 , 12 708 , 28 304 , 20 287 
01.02.2024, 20 283 , 14 369 , 24 777 , 20 788 
01.03.2024, 19 417 , 11 923 , 24 409 , 20 039 
01.04.2024, 18 602 , 11 514 , 23 583 , 18 332 
01.05.2024, 17 529 , 11 786 , 21 904 , 17 364 
01.06.2024, 17 869 , 11 961 , 22 240 , 17 525 
01.07.2024, 17 504 , 11 842 , 22 274 , 17 534 
01.08.2024, 17 062 , 11 723 , 21 538 , 17 834 
01.09.2024, 17 138 , 12 095 , 21 156 , 18 221 
01.10.2024,,,,18 987
01.11.2024,,,,20 326
01.12.2024,,,,20 437
