,Wêgiel PSCMI1,Wêgiel CIF ARA,Gaz TGE,Gaz Henry Hub,Gaz TTF,EUA
01.01.2021,41.83,36.27,102.21,35.5,92.72,151.99
01.02.2021,41.51,35.23,94.42,38.97,78.33,169.26
01.03.2021,41.47,37.24,93.27,36.51,80.77,186.19
01.04.2021,41,38.56,104.7,37.01,93.12,205.15
01.05.2021,40.1,44.81,122.7,39.82,113.28,235.36
01.06.2021,41.18,57.5,138.33,44.04,131.36,237.29
01.07.2021,41.08,71.84,171.98,52.93,164.4,243.94
01.08.2021,41.58,81.79,211.81,56.41,204.29,257.25
01.09.2021,40.9,98.03,312.28,71.48,305.31,280.28
01.10.2021,40.82,135.22,418.84,79.6,419.56,273.72
01.11.2021,39.67,83.38,403.53,75.19,384.07,304.86
01.12.2021,42.05,80.54,534.65,56.36,530.84,372.25
01.01.2022,48.67,87.4,393.2,59.75,389.63,378.76
01.02.2022,49.14,108.91,383.06,64.49,374.98,410.05
01.03.2022,48.24,211.88,703.44,77.37,624.91,355.08
01.04.2022,49,190.6,506.83,103.93,473.36,373.65
01.05.2022,54.72,201.19,425.3,129.24,438.96,396.07
01.06.2022,58.14,212.14,477.09,120.03,502.94,384
01.07.2022,58.32,257.84,823.85,120.87,813.46,389.36
01.08.2022,109.3,237.5,1104.63,147.45,1089.19,413.56
01.09.2022,105.62,232.56,901.74,133.97,998.94,329.44
01.10.2022,92.95,190.11,350.13,109.04,763.93,333.98
01.11.2022,93.02,141.9,481.14,106.93,599.61,354.57
01.12.2022,90.5,154.36,567.82,91.74,552.65,405.3
01.01.2023,115.96,103.62,313.24,53.13,303.68,375.83
01.02.2023,114.8,86.87,283.38,39.1,249.63,436.05
01.03.2023,118.76,84.26,225.41,38.3,206.52,419.82
01.04.2023,119.56,83.66,222.28,33.87,195.23,415.85
01.05.2023,121.1,71.74,158.6,35.19,145.82,380.05
01.06.2023,123.05,66.81,153.26,36.93,145.69,379.36
01.07.2023,120.78,63.61,150.13,38.33,134.17,383.28
01.08.2023,119.48,67.64,175.89,39.05,164.11,378.12
01.09.2023,122.22,74.2,178.1,42.17,179.47,376.59
01.10.2023,114.98,80.61,208.91,49.57,217.92,364.46
01.11.2023,111.49,70.89,211.37,44.87,203.67,332.65
01.12.2023,109.01,67.29,175.68,36.09,156.69,297.57
01.01.2024,84.924,61.1484966,160.8032577,37.85238449,130.6368136,268.8739126
01.02.2024,81.468,55.87685134,133.3506682,25.95052326,111.5825268,239.4833857
01.03.2024,80.784,63.46592314,137.5572341,25.20850047,115.7044364,247.8408533
01.04.2024,#N/A,67.73992541,140.6552849,26.87504004,124.644042,274.2272802
01.05.2024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01.06.2024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01.07.2024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01.08.2024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01.09.2024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01.10.2024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01.11.2024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01.12.2024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
