,CZ|PL,SK|PL,DE|PL,SE|PL,LT|PL,UA|PL
01.01.2021,-610,-287,780,253,61,0
01.02.2021,-252,-158,870,264,63,0
01.03.2021,-425,-228,1035,356,209,158
01.04.2021,-693,-406,819,343,207,84
01.05.2021,-419,-118,597,263,40,111
01.06.2021,-430,-213,554,198,53,100
01.07.2021,-529,-398,671,227,-16,90
01.08.2021,-645,-409,603,219,-23,111
01.09.2021,-965,-524,463,122,12,81
01.10.2021,-1098,-706,778,403,199,52
01.11.2021,-984,-597,589,327,163,0
01.12.2021,-814,-504,648,249,23,43
01.01.2022,-827,-598,665,333,147,92
01.02.2022,-664,-645,673,214,193,105
01.03.2022,-968,-618,558,374,207,10
01.04.2022,-880,-596,452,311,271,124
01.05.2022,-855,-562,586,339,43,144
01.06.2022,-620,-490,683,319,3,155
01.07.2022,-678,-503,754,427,28,155
01.08.2022,-645,-448,614,429,9,159
01.09.2022,-656,-300,657,148,106,133
01.10.2022,-671,-512,892,304,14,53
01.11.2022,-694,-430,892,396,-145,0
01.12.2022,-564,-293,660,195,-87,0
01.01.2023,-758,-449,750,355,217,0
01.02.2023,-422,-477,605,341,167,0
01.03.2023,-125,-417,420,345,163,0
01.04.2023,-415,-215,485,373,211,17
01.05.2023,-365,-197,393,369,129,1
01.06.2023,-79,-33,554,346,-19,104
01.07.2023,-273,-226,783,391,89,-18
01.08.2023,-250,-77,549,401,-47,-20
01.09.2023,-336,-126,579,386,-150,12
01.10.2023,-590,-432,747,210,2,-12
01.11.2023,-458,-298,735,235,-77,-25
01.12.2023,-530,-411,875,39,-152,-39
01.01.2024,-318,-275,917,114,-103,-3
01.02.2024,-241,-249,793,278,-93,44
01.03.2024,-291,-191,577,263,-16,70
01.04.2024,-339,-10,410,199,-7,-18
01.05.2024,-468,0,569,270,-57,-155
01.06.2024,-328,-202,815,291,-122,-171
01.07.2024,-269,-281,854,356,-114,-163
01.08.2024,-432,-425,823,207,-157,-89
01.09.2024,-375,-368,599,0,-21,-69
