,Gie³da,Inne (OTC),Szacunek
01.01.2021,12.77,2.58,
01.02.2021,11.20,2.58,
01.03.2021,11.67,2.58,
01.04.2021,11.77,1.70,
01.05.2021,11.45,1.70,
01.06.2021,11.70,1.70,
01.07.2021,12.78,1.62,
01.08.2021,12.42,1.62,
01.09.2021,13.12,1.62,
01.10.2021,12.30,2.73,
01.11.2021,12.73,2.73,
01.12.2021,13.83,2.73,
01.01.2022,13.12,2.81,
01.02.2022,11.41,2.81,
01.03.2022,13.05,2.81,
01.04.2022,12.76,1.82,
01.05.2022,12.20,1.82,
01.06.2022,11.65,1.82,
01.07.2022,12.27,1.37,
01.08.2022,12.50,1.37,
01.09.2022,12.00,1.37,
01.10.2022,11.43,2.66,
01.11.2022,12.01,2.66,
01.12.2022,12.94,2.66,
01.01.2023,9.25,5.73,
01.02.2023,8.03,5.73,
01.03.2023,8.79,5.73,
01.04.2023,7.87,4.81,
01.05.2023,7.77,4.81,
01.06.2023,6.93,4.81,
01.07.2023,7.12,5.17,
01.08.2023,7.54,5.17,
01.09.2023,7.58,5.17,
01.10.2023,7.75,6.46,
01.11.2023,8.07,6.46,
01.12.2023,8.96,6.46,
01.01.2024,6.05,9.59,
01.02.2024,3.99,9.59,
01.03.2024,4.85,9.59,
01.04.2024,6.08,7.31,
01.05.2024,5.73,7.31,
01.06.2024,5.29,7.31,
